Skill	EntityID
Adobe Systems AdobeMlashMX	ONET:AdobeSystemsAdobeMlashMX
Adobe Systems Adobe PageMaker	ONET:AdobeSystemsAdobePageMaker
Adobe Systems Adobe Persuasion	ONET:AdobeSystemsAdobePersuasion
Adobe Systems Adobe Photoshop	ONET:AdobeSystemsAdobePhotoshop
Adobe Systems Adobe Photoshop Lightroom	ONET:AdobeSystemsAdobePhotoshopLightroom
Adobe Systems Adobe PostScript	ONET:AdobeSystemsAdobePostScript
Adobe Systems Adobe Premiere Pro	ONET:AdobeSystemsAdobePremierePro
Adobe Systems Adobe Presenter	ONET:AdobeSystemsAdobePresenter
Adobe Systems Adobe RoboHelp	ONET:AdobeSystemsAdobeRoboHelp
Adobe Systems Adobe Shockwave Player	ONET:AdobeSystemsAdobeShockwavePlayer
Adobe Systems Macromedia Shockwave Player	ONET:AdobeSystemsMacromediaShockwavePlayer
ADO.NET	ONET:ADO.NET
AD OPT Altitude	ONET:ADOPTAltitude
ADP Drive DMS for Accounting	ONET:ADPDriveDMSForAccounting
ADP Employease	ONET:ADPEmployease
ADP Enterprise eTIME	ONET:ADPEnterpriseETIME
ADP Enterprise HR	ONET:ADPEnterpriseHR
ADP eTIME	ONET:ADPETIME
ADP ezLaborManager	ONET:ADPEzLaborManager
ADP HR/Benefits Solution	ONET:ADPHR/BenefitsSolution
ADP HR/Profile	ONET:ADPHR/Profile
ADP Pay eXpert	ONET:ADPPayEXpert
ADP PC/Payroll	ONET:ADPPC/Payroll
ADP software	ONET:ADPSoftware
ADP Super Report Writer	ONET:ADPSuperReportWriter
ADP/Vantra VOLTS	ONET:ADP/VantraVOLTS
ADP Workforce Now	ONET:ADPWorkforceNow
AdRelevance	ONET:AdRelevance
ADS Advantage	ONET:ADSAdvantage
AdSense Tracker	ONET:AdSenseTracker
Adson forceps	ONET:AdsonForceps
Adstra Systems ADSTRA Management	ONET:AdstraSystemsADSTRAManagement
Adtec Agency Manager	ONET:AdtecAgencyManager
